Date,Price,Open,High,Low,Vol.,Change
08/16/2022,151.82,151.82,153.72,151.73,10.27K,0.00%
08/15/2022,151.82,151.82,154.67,151.73,11.81K,0.00%
08/12/2022,151.82,151.82,151.82,151.82,6.27K,0.00%
08/11/2022,151.82,151.73,151.82,151.73,24.72K,0.00%
08/10/2022,151.82,151.82,151.82,151.82,3.12K,0.00%
08/09/2022,151.82,151.82,151.82,151.82,2.89K,0.44%
08/08/2022,151.16,156.57,156.57,150.87,5.69K,-3.45%
08/05/2022,156.57,157.71,158.46,156.57,2.25K,-0.72%
08/04/2022,157.71,160.36,160.36,157.52,2.65K,-1.66%
08/03/2022,160.36,160.17,160.36,160.17,1.47K,0.12%
08/02/2022,160.17,160.36,160.36,160.17,1.18K,-0.12%
08/01/2022,160.36,161.31,161.31,160.36,4.99K,0.00%
07/29/2022,160.36,161.31,161.31,160.36,1.55K,-0.59%
07/28/2022,161.31,164.16,164.16,161.31,1.42K,0.00%
07/27/2022,161.31,164.16,164.16,161.31,1.96K,-1.73%
07/26/2022,164.16,165.96,165.96,164.16,0.33K,-1.14%
07/25/2022,166.06,165.11,166.06,165.11,0.98K,0.00%
07/22/2022,166.06,165.11,167,165.11,0.58K,0.57%
07/21/2022,165.11,164.16,166.06,162.26,1.17K,0.58%
07/20/2022,164.16,165.11,165.11,164.16,0.25K,-1.14%
07/19/2022,166.06,162.26,166.06,162.26,0.08K,0.00%
07/18/2022,166.06,161.41,168.43,161.41,3.62K,0.57%
07/15/2022,165.11,166.06,167.95,165.11,1.70K,-0.51%
07/14/2022,165.96,167.95,167.95,165.68,1.16K,-1.74%
07/13/2022,168.9,170.8,171.27,168.9,6.37K,0.00%
07/12/2022,168.9,170.8,170.8,168.9,2.99K,-1.11%
07/11/2022,170.8,174.6,175.45,170.8,3.53K,-2.17%
07/08/2022,174.6,177.25,177.25,170.8,2.39K,-1.50%
07/07/2022,177.25,178.3,178.3,177.25,0.48K,0.97%
07/06/2022,175.54,178.39,178.39,170.8,6.08K,-1.54%
07/05/2022,178.3,175.45,178.3,175.45,1.62K,2.12%
07/04/2022,174.6,177.25,177.25,174.6,0.92K,-1.60%
07/01/2022,177.44,175.54,177.44,175.54,0.16K,1.08%
06/30/2022,175.54,176.97,176.97,175.54,2.63K,-0.80%
06/29/2022,176.97,177.25,177.44,176.49,0.48K,-0.27%
06/28/2022,177.44,178.39,178.39,177.44,0.91K,0.05%
06/27/2022,177.35,180.29,180.29,177.35,8.16K,-1.63%
06/24/2022,180.29,180.29,180.29,180.29,5.32K,0.00%
06/23/2022,180.29,180.38,180.38,180.29,3.36K,0.00%
06/22/2022,180.29,188.83,188.83,180.29,1.16K,0.00%
06/21/2022,180.29,181.24,182.19,180.29,2.50K,-0.52%
06/20/2022,181.24,189.78,189.78,181.24,1.30K,-0.62%
06/17/2022,182.38,182.28,182.38,182.28,0.26K,0.05%
06/16/2022,182.28,182.19,182.28,182.19,0.38K,0.05%
06/15/2022,182.19,182,182.19,182,0.16K,-3.52%
06/14/2022,188.83,188.83,188.83,188.83,0.17K,3.92%
06/13/2022,181.71,181.71,181.71,181.62,0.07K,0.05%
06/10/2022,181.62,189.78,189.78,181.62,0.27K,-4.30%
06/09/2022,189.78,189.78,193.57,182.19,10.77K,0.00%
06/08/2022,189.78,188.83,189.78,188.83,0.69K,0.10%
06/07/2022,189.59,180.57,189.78,180.57,0.13K,5.10%
06/06/2022,180.38,193.57,193.57,180.38,1.54K,-3.99%
06/03/2022,187.88,187.88,187.88,187.88,1.11K,0.00%
06/02/2022,187.88,195.47,195.47,181.71,0.44K,1.54%
06/01/2022,185.03,195.47,195.47,180.76,0.59K,-2.50%
05/31/2022,189.78,189.78,194.52,188.83,30.76K,0.00%
05/30/2022,189.78,180.48,195.47,180.48,0.25K,5.21%
05/27/2022,180.38,185.03,185.03,180.29,6.14K,-2.56%
05/26/2022,185.13,187.88,187.88,185.13,2.67K,-1.96%
05/25/2022,188.83,189.59,189.59,188.36,7.83K,-0.50%
05/24/2022,189.78,189.78,189.78,189.59,25.17K,0.00%
05/23/2022,189.78,189.78,189.78,189.59,3.23K,0.00%
05/20/2022,189.78,193.76,196.42,189.78,4.29K,-3.85%
05/19/2022,197.37,196.99,197.37,193.76,35.27K,4.00%
05/18/2022,189.78,189.78,189.78,189.68,0.47K,0.10%
05/17/2022,189.59,189.78,189.78,189.59,2.49K,-0.10%
05/16/2022,189.78,194.52,198.32,189.78,1.22K,-2.44%
05/13/2022,194.52,189.78,194.52,189.78,0.10K,1.49%
05/12/2022,191.68,196.42,196.42,189.59,3.43K,-2.88%
05/11/2022,197.37,197.37,197.37,196.42,4.06K,-0.95%
05/10/2022,199.27,197.37,199.27,197.37,7.69K,0.96%
05/06/2022,197.37,199.27,199.27,197.37,4.22K,-0.95%
05/05/2022,199.27,192.81,199.27,192.81,0.27K,3.96%
05/04/2022,191.68,191.68,191.68,191.68,0.05K,-3.81%
04/29/2022,199.27,201.92,201.92,191.11,1.14K,0.96%
04/28/2022,197.37,197.37,197.37,197.37,0.07K,0.00%
04/27/2022,197.37,194.9,197.37,194.9,0.24K,1.36%
04/26/2022,194.71,194.9,194.9,194.71,0.53K,-1.82%
04/25/2022,198.32,202.11,202.11,198.32,0.03K,2.45%
04/22/2022,193.57,194.52,194.52,192.63,1.51K,0.89%
04/21/2022,191.87,190.92,201.54,190.92,0.55K,-0.39%
04/20/2022,192.63,195.66,195.66,192.63,0.03K,0.50%
04/19/2022,191.68,191.68,191.68,191.68,0.12K,0.00%
04/18/2022,191.68,203.44,203.44,191.68,1.22K,-6.86%
04/13/2022,205.8,205.8,208,205.8,5.88K,5.49%
04/12/2022,195.09,195.47,195.47,191.87,5.53K,-3.90%
04/11/2022,203,203,203,203,0.48K,-0.98%
04/08/2022,205,204,205,204,2.17K,2.50%
04/07/2022,200,204.8,204.8,200,3.54K,-0.50%
04/06/2022,201,201,205.4,200.2,7.60K,0.00%
04/05/2022,201,201,206.6,200,2.70K,0.40%
04/04/2022,200.2,204.8,208.8,200.2,0.59K,-2.25%
04/01/2022,204.8,211.2,211.2,200,2.11K,-1.06%
03/31/2022,207,200,207.8,200,0.32K,9.07%
03/30/2022,189.78,189.78,189.78,189.78,1.05K,-5.11%
03/28/2022,200,200,200,199.8,0.69K,-0.99%
03/25/2022,202,202,202,202,0.01K,1.00%
03/24/2022,200,205,205,200,1.04K,0.00%
03/23/2022,200,200,200,200,0.38K,0.00%
03/22/2022,200,200,202,200,0.74K,0.00%
03/21/2022,200,203.6,203.6,200,7.66K,3.62%
03/18/2022,193,190.54,204.01,190.16,1.83K,-8.62%
03/17/2022,211.2,200.2,211.2,200.2,0.23K,-0.28%
03/16/2022,211.8,211.8,211.8,211.8,0.01K,0.00%
